day	hour	value
1	1	139
1	2	93
1	3	92
1	4	59
1	5	61
1	6	97
1	7	149
1	8	214
1	9	327
1	10	285
1	11	319
1	12	256
1	13	311
1	14	319
1	15	347
1	16	316
1	17	313
1	18	382
1	19	349
1	20	304
1	21	270
1	22	235
1	23	192
1	24	347
2	1	105
2	2	73
2	3	61
2	4	52
2	5	56
2	6	71
2	7	142
2	8	195
2	9	254
2	10	265
2	11	273
2	12	229
2	13	303
2	14	336
2	15	342
2	16	320
2	17	299
2	18	328
2	19	360
2	20	326
2	21	260
2	22	277
2	23	213
2	24	352
3	1	135
3	2	99
3	3	78
3	4	75
3	5	64
3	6	100
3	7	142
3	8	208
3	9	294
3	10	278
3	11	280
3	12	242
3	13	309
3	14	289
3	15	375
3	16	292
3	17	316
3	18	334
3	19	345
3	20	294
3	21	284
3	22	245
3	23	179
3	24	345
4	1	105
4	2	87
4	3	83
4	4	55
4	5	44
4	6	80
4	7	121
4	8	198
4	9	251
4	10	307
4	11	261
4	12	226
4	13	280
4	14	317
4	15	331
4	16	298
4	17	283
4	18	305
4	19	335
4	20	305
4	21	265
4	22	232
4	23	173
4	24	279
5	1	114
5	2	118
5	3	75
5	4	63
5	5	55
5	6	101
5	7	145
5	8	198
5	9	273
5	10	252
5	11	297
5	12	212
5	13	337
5	14	305
5	15	359
5	16	309
5	17	335
5	18	374
5	19	407
5	20	374
5	21	333
5	22	317
5	23	290
5	24	351
6	1	247
6	2	205
6	3	159
6	4	120
6	5	83
6	6	79
6	7	95
6	8	164
6	9	255
6	10	247
6	11	315
6	12	307
6	13	290
6	14	308
6	15	290
6	16	272
6	17	287
6	18	318
6	19	348
6	20	354
6	21	326
6	22	306
6	23	288
6	24	340
7	1	260
7	2	262
7	3	208
7	4	150
7	5	111
7	6	71
7	7	91
7	8	136
7	9	195
7	10	248
7	11	289
7	12	333
7	13	251
7	14	277
7	15	304
7	16	296
7	17	274
7	18	332
7	19	303
7	20	332
7	21	295
7	22	295
7	23	214
7	24	267
