"","dates","SA-1","SA0","SA1"
"1","2018-09-16 00:00:00",7,63,30
"2","2018-09-16 03:00:00",9,53,38
"3","2018-09-16 06:00:00",11,55,34
"4","2018-09-16 09:00:00",15,52,33
"5","2018-09-16 12:00:00",15,50,35
"6","2018-09-16 15:00:00",6,48,46
"7","2018-09-16 18:00:00",11,59,30
"8","2018-09-16 21:00:00",10,53,37
"9","2018-09-17 00:00:00",7,61,32
"10","2018-09-17 03:00:00",14,55,31
"11","2018-09-17 06:00:00",11,53,36
"12","2018-09-17 09:00:00",6,54,40
"13","2018-09-17 12:00:00",10,56,34
"14","2018-09-17 15:00:00",7,48,45
"15","2018-09-17 18:00:00",11,56,33
"16","2018-09-17 21:00:00",9,62,29
"17","2018-09-18 00:00:00",5,63,32
"18","2018-09-18 03:00:00",6,42,52
"19","2018-09-18 06:00:00",11,53,36
"20","2018-09-18 09:00:00",9,55,36
"21","2018-09-18 12:00:00",14,53,33
"22","2018-09-18 15:00:00",11,58,31
"23","2018-09-18 18:00:00",11,55,34
"24","2018-09-18 21:00:00",18,40,42
"25","2018-09-19 00:00:00",3,45,52
"26","2018-09-19 03:00:00",16,46,38
"27","2018-09-19 06:00:00",7,57,36
"28","2018-09-19 09:00:00",7,62,31
"29","2018-09-19 12:00:00",6,61,33
"30","2018-09-19 15:00:00",18,48,34
"31","2018-09-19 18:00:00",13,51,36
"32","2018-09-19 21:00:00",12,46,42
"33","2018-09-20 00:00:00",17,45,38
"34","2018-09-20 03:00:00",6,62,32
"35","2018-09-20 06:00:00",10,45,45
"36","2018-09-20 09:00:00",12,62,26
"37","2018-09-20 12:00:00",6,52,42
"38","2018-09-20 15:00:00",7,52,41
"39","2018-09-20 18:00:00",13,48,39
"40","2018-09-20 21:00:00",23,47,30
"41","2018-09-21 00:00:00",14,49,37
"42","2018-09-21 03:00:00",14,45,41
"43","2018-09-21 06:00:00",15,41,44
"44","2018-09-21 09:00:00",6,51,43
"45","2018-09-21 12:00:00",13,53,34
"46","2018-09-21 15:00:00",13,49,38
"47","2018-09-21 18:00:00",9,52,39
"48","2018-09-21 21:00:00",12,54,34
"49","2018-09-22 00:00:00",15,63,22
"50","2018-09-22 03:00:00",11,65,24
"51","2018-09-22 06:00:00",17,56,27
"52","2018-09-22 09:00:00",7,48,45
"53","2018-09-22 12:00:00",15,54,31
"54","2018-09-22 15:00:00",13,54,33
"55","2018-09-22 18:00:00",7,56,37
"56","2018-09-22 21:00:00",8,56,36
"57","2018-09-23 00:00:00",15,54,31
"58","2018-09-23 03:00:00",11,42,47
"59","2018-09-23 06:00:00",9,49,42
"60","2018-09-23 09:00:00",10,63,27
"61","2018-09-23 12:00:00",13,48,39
"62","2018-09-23 15:00:00",14,37,49
"63","2018-09-23 18:00:00",13,49,38
"64","2018-09-23 21:00:00",18,46,36
"65","2018-09-24 00:00:00",12,56,32
"66","2018-09-24 03:00:00",11,55,34
"67","2018-09-24 06:00:00",22,43,35
"68","2018-09-24 09:00:00",10,49,41
"69","2018-09-24 12:00:00",6,54,40
"70","2018-09-24 15:00:00",17,45,38
"71","2018-09-24 18:00:00",9,50,41
"72","2018-09-24 21:00:00",11,51,38
"73","2018-09-25 00:00:00",13,46,41
"74","2018-09-25 03:00:00",10,53,37
"75","2018-09-25 06:00:00",13,46,41
"76","2018-09-25 09:00:00",2,55,43
"77","2018-09-25 12:00:00",9,60,31
"78","2018-09-25 15:00:00",9,53,38
"79","2018-09-25 18:00:00",6,51,43
"80","2018-09-25 21:00:00",8,58,34
"81","2018-09-26 00:00:00",7,61,32
"82","2018-09-26 03:00:00",12,53,35
"83","2018-09-26 06:00:00",3,64,33
"84","2018-09-26 09:00:00",7,63,30
"85","2018-09-26 12:00:00",13,50,37
"86","2018-09-26 15:00:00",9,57,34
"87","2018-09-26 18:00:00",11,53,36
"88","2018-09-26 21:00:00",7,56,37
"89","2018-09-27 00:00:00",9,52,39
"90","2018-09-27 03:00:00",11,61,28
"91","2018-09-27 06:00:00",9,55,36
"92","2018-09-27 09:00:00",15,43,42
"93","2018-09-27 12:00:00",12,55,33
"94","2018-09-27 15:00:00",12,62,26
"95","2018-09-27 18:00:00",11,52,37
"96","2018-09-27 21:00:00",13,50,37
"97","2018-09-28 00:00:00",19,58,23
"98","2018-09-28 03:00:00",12,51,37
"99","2018-09-28 06:00:00",8,58,34
"100","2018-09-28 09:00:00",5,58,37
"101","2018-09-28 12:00:00",8,55,37
"102","2018-09-28 15:00:00",8,60,32
"103","2018-09-28 18:00:00",14,45,41
"104","2018-09-28 21:00:00",3,54,43
"105","2018-09-29 00:00:00",10,50,40
"106","2018-09-29 03:00:00",9,61,30
"107","2018-09-29 06:00:00",12,53,35
"108","2018-09-29 09:00:00",8,57,35
"109","2018-09-29 12:00:00",12,48,40
"110","2018-09-29 15:00:00",7,53,40
"111","2018-09-29 18:00:00",8,61,31
"112","2018-09-29 21:00:00",5,57,38
"113","2018-09-30 00:00:00",6,64,30
"114","2018-09-30 03:00:00",7,59,34
"115","2018-09-30 06:00:00",6,48,46
"116","2018-09-30 09:00:00",6,56,38
"117","2018-09-30 12:00:00",8,55,37
"118","2018-09-30 15:00:00",13,48,39
"119","2018-09-30 18:00:00",5,47,48
"120","2018-09-30 21:00:00",10,40,50
